,,,,,,,,,,,,,,,,,,,,,,e_avg,s_avg
Evol,136.0913,85.39408,51.21356,261.6458,64.61216,88.28239,88.12449,119.1569,-72.0267,116.6722,Static enemies,-104.898,74.29118,-25.47899,-5.207662,-204.6785,-2.866256,-38.94443,-30.56989,-61.82033,120.8618,93.916618,-27.9311078
Evol,87.92397,-6.758257,2.761667,-109.0057,-5.564103,57.51526,-96.20661,38.3699,109.2709,284.0724,Static enemies,-66.91516,-30.90128,53.77364,59.92432,176.5461,78.79307,4.908272,130.0504,23.6496,-38.50687,36.2379427,39.1322092
Evol,78.44588,66.50478,224.3805,-10.2841,21.9369,38.98449,-42.08154,118.4404,-104.4527,48.42321,Static enemies,-258.3773,-41.03091,-27.1853,-173.8558,80.07937,38.42762,8.854411,90.47205,-37.08244,162.5106,44.029782,-15.7187699
Evol,-30.66388,-30.03998,59.23266,117.684,73.79571,86.30281,136.275,45.8412,5.228026,15.15706,Static enemies,3.498787,89.59912,93.48969,5.354496,-42.3629,-39.30388,-21.24744,-84.87193,16.00438,74.74416,47.8812606,9.4904483
Evol,218.8349,27.38915,96.44453,-19.39257,27.88418,66.11126,156.1382,100.6609,139.7666,162.1378,Static enemies,11.05097,-153.8235,13.17409,-27.79752,45.81192,39.82878,-16.02505,-121.5637,-48.86664,-69.36542,97.597495,-32.757607
Evol,79.28792,-22.12008,16.21688,19.81044,66.70898,50.62259,54.00361,80.44122,109.4805,22.99056,Static enemies,-113.5893,-37.91452,81.29663,44.43772,38.91286,-2.163709,7.263681,22.73333,-17.5947,-26.86431,47.744262,-0.3482318
Evol,46.06933,72.86062,152.8317,73.77792,4.019271,125.0613,67.62485,-3.459512,48.56222,13.75287,Static enemies,39.6347,17.09652,-16.62436,-89.80948,-9.934884,28.90582,-52.26898,-11.07859,52.70872,4.027415,60.1100569,-3.7343119
Evol,-83.28836,34.3999,9.439172,99.43481,57.68914,95.76906,-3.128014,106.5614,-29.07559,37.09415,Static enemies,23.62443,122.0198,23.45255,63.34618,-47.19601,8.350307,-52.77176,74.46964,-50.08847,91.83284,32.4895668,25.7039507
Evol,87.20467,91.79794,50.28156,181.9457,174.6863,74.24473,47.35551,98.75275,127.4745,27.2592,Static enemies,19.27696,-38.99422,-37.2659,8.966242,-128.886,-141.7971,1.48893,36.91611,-40.75871,-84.12094,96.100286,-40.5174628
Evol,84.00311,78.843,49.69082,-97.7468,-17.47691,153.5306,16.16519,26.42761,41.61016,26.70604,Static enemies,17.63777,-45.92153,-34.26845,-0.456662,158.7598,73.22025,-106.6162,19.69643,19.42309,27.22204,36.175282,12.8696538
Evol,23.44258,177.3764,23.60784,7.379528,92.40874,49.65457,20.29529,58.30469,147.0802,17.85126,Static enemies,39.66056,41.58817,-130.1514,41.67587,70.29974,-27.54646,12.30925,43.03745,0.5578251,-72.42893,61.7401098,1.90020751
Evol,108.8142,209.6715,-203.9249,70.47763,11.1649,66.56927,67.29351,17.406,-53.84031,-31.06813,Static enemies,47.46931,-51.68599,-144.8732,260.2788,-1.581866,24.85533,-4.811383,-16.44334,25.17753,124.2312,26.256367,26.2616391
Evol,121.9343,-19.69437,-38.51338,90.96854,20.91842,160.0745,-98.36835,81.96634,-93.21855,167.2782,Static enemies,78.50544,-56.73321,62.96487,110.5882,-65.30255,40.44396,-113.689,131.2135,-19.44564,147.9149,39.334565,31.646047
Evol,222.808,38.37931,181.8315,-55.66729,64.7947,134.9713,37.57925,66.49538,-26.99162,212.2207,Static enemies,-115.7046,-174.7811,10.77297,-121.8602,116.7502,-28.37549,-76.01183,21.77065,2.414042,86.99864,87.642123,-27.8026718
Evol,195.0345,125.1232,153.2855,175.3629,7.519588,0.6832529,252.208,-132.0825,63.2498,70.87374,Static enemies,-166.1236,-151.3706,-75.77642,-104.0985,-123.8413,56.23647,40.01894,-204.991,170.6518,-6.791115,91.12579809,-56.6085325
Evol,-17.74296,170.5549,59.65466,170.6392,129.5844,-21.49958,163.0176,-43.55023,141.2762,-180.5728,Static enemies,-31.91747,75.23382,-129.0126,-19.29155,-108.408,-89.75863,38.33563,-89.37634,109.4695,-81.86092,57.136139,-32.658656
