,,,,,,,,,,,,,,,,,,,,,,Average - Evolving,Average - Static
Evol,-45.59996,42.51166,-80.35618,18.70334,99.71557,-17.91636,101.4072,72.86345,221.5703,-120.3371,Static enemies,61.8331,27.91304,-25.44251,106.5419,6.044232,-68.48969,16.03838,-78.07378,-39.14461,-191.0764,29.256192,-18.3856338
Evol,-22.92739,210.0398,-32.83204,-4.164022,14.84727,-43.97713,128.1316,-16.5309,-41.21405,2.488612,Static enemies,155.6194,36.41993,-178.3513,71.17503,7.55494,30.6996,67.20174,-109.7927,32.13527,80.96723,19.386175,19.362914
Evol,-114.8822,88.6608,117.832,-54.6517,78.15481,126.0628,-130.0876,110.9962,-76.70718,0.7776567,Static enemies,60.84461,135.3604,-70.19891,-111.7618,84.63026,-40.96072,-97.90118,139.9365,-109.2558,65.52785,14.61555867,5.622121
Evol,-19.67624,-0.6662863,-52.6422,253.3455,91.31697,109.5993,150.0211,-72.73974,-40.84995,-7.413952,Static enemies,49.09749,54.74735,45.44225,81.70889,-248.1482,-86.81209,-92.07422,-105.955,90.23357,35.09141,41.02945017,-17.666855
Evol,221.4381,295.0871,84.05994,101.4665,4.103824,-47.14925,73.47268,58.9748,82.63094,165.6284,Static enemies,28.1932,-186.507,-301.9918,-42.79627,-58.67811,9.95907,52.68855,-28.03612,-49.52421,-80.34994,103.9713034,-65.704263
Evol,18.0213,130.3715,50.56105,38.5242,9.64045,159.637,-89.46865,82.86893,76.38442,291.4222,Static enemies,-168.8593,-3.605327,-91.26238,-39.05799,-26.02217,5.506785,-126.0324,129.0742,-76.18329,-24.93665,76.79624,-42.1378522
Evol,151.0752,106.0638,91.44437,-42.80474,158.3328,-3.781277,-105.7513,142.3963,-18.14994,70.0367,Static enemies,-275.4271,-134.4181,-93.26692,-77.99131,89.48686,-139.2526,8.111397,148.5057,-116.5555,44.59003,54.8861913,-54.6217543
Evol,140.5315,57.74238,-59.2214,147.7048,61.45986,27.27048,165.028,151.5944,-125.521,-17.07092,Static enemies,-48.26942,-101.5332,-64.05546,68.4502,-142.4509,-47.93278,-5.11613,-168.2473,-108.2997,120.2104,54.95181,-49.724429
Evol,207.0555,-103.2279,86.86824,21.34327,83.44162,169.2634,199.3927,-85.35201,119.2647,37.88453,Static enemies,32.84262,-196.9921,125.1342,-36.23223,3.022097,-66.24605,-165.5758,-189.1536,105.9007,-126.7415,73.593405,-51.4041663
Evol,172.6789,143.2403,184.0849,164.8967,46.64534,73.13453,189.3839,142.8692,-128.615,-12.68022,Static enemies,-31.5226,-174.3236,-95.81595,-185.3281,-148.024,-31.08848,-47.22128,-178.7708,-91.82766,134.4839,97.563855,-84.943857
Evol,1.710691,-14.26427,127.4216,214.5171,181.9133,108.2849,167.9086,32.1674,194.1656,74.13092,Static enemies,20.78605,-26.87079,31.64624,-116.1544,-205.883,-177.3732,-100.2861,-143.1649,-9.533268,-183.5017,108.7955841,-91.0335068
Evol,179.4851,-31.55824,197.913,112.8857,415.5909,101.4442,103.0113,195.5565,-74.45672,171.7483,Static enemies,-42.99199,-169.5943,49.67144,-191.4718,-90.58204,-424.8769,-74.18261,-81.66577,-195.6048,79.72588,137.162004,-114.157289
