,,,,,,,,,,,,,,,,,,,,,,Evolving,Static
Evol,38.42138,-62.49872,9.168921,334.8037,-44.46687,-34.45874,162.1338,43.54492,69.22527,97.29736,Static enemies,-55.21059,50.87508,59.24886,19.51495,-310.4986,76.11803,50.5575,-149.0368,-25.68077,-45.70119,61.3171021,-32.981353
Evol,52.38691,-102.4317,108.1084,38.46191,36.46451,53.21193,47.05378,-53.82784,-7.47272,374.9658,Static enemies,-59.59601,-13.30387,118.7011,-85.63444,-14.43267,-20.26221,-46.41242,-6.764485,78.74674,47.77338,54.692098,-0.1184885
Evol,226.2727,-133.3478,96.73185,-116.4441,-40.86409,16.03642,0.9757354,55.20477,176.2924,270.1469,Static enemies,-377.9671,-239.2629,177.1112,-33.23497,128.1016,60.73355,7.1926,5.881334,3.793192,-161.2105,55.10047854,-42.8861994
Evol,130.3786,130.9917,-145.8941,83.99263,-113.3087,40.14342,43.00518,19.86241,47.97139,89.80559,Static enemies,-254.0852,-121.7693,-131.8886,178.4394,-55.74887,138.2961,-7.460235,-33.88379,0.2416339,-27.78205,32.694812,-31.56409111
Evol,42.54668,396.7841,211.5719,33.43614,35.53269,-5.415514,27.66659,-124.2539,57.45928,186.9029,Static enemies,-53.21287,1.70308,-410.7374,-174.8678,13.422,-12.10977,13.99788,-13.67595,125.4777,-18.59852,86.2230866,-52.860165
Evol,54.07152,14.32216,304.1924,-32.16654,143.0335,322.3727,40.36897,178.8667,73.19922,265.5215,Static enemies,-189.9163,-80.65028,14.28657,-307.0586,55.12257,-156.5621,-316.452,-15.06905,-158.3607,-41.49842,136.378213,-119.615831
Evol,145.6997,190.8287,0.1197334,-49.25595,174.9764,194.6163,-64.65509,127.2141,56.54963,294.2817,Static enemies,-238.5884,-143.4659,-160.3396,-6.761184,74.27449,-191.7744,-163.0984,80.07076,-105.5623,-20.8791,107.0375223,-87.6124034
Evol,194.9643,56.10126,266.9298,336.452,158.1425,-14.51478,68.82001,55.18308,49.49199,41.61878,Static enemies,-273.9696,-169.3182,9.591508,-280.6112,-333.2742,-116.3345,71.64258,-73.9577,-44.47782,-30.16026,121.318894,-124.0869392
Evol,135.826,51.76408,84.34267,50.55615,-39.15492,125.005,-47.46932,256.5671,31.96955,-21.65428,Static enemies,-24.33375,-112.5354,-35.7382,-70.00652,-9.000741,50.50298,-87.77053,66.02844,-233.8083,3.362596,62.775203,-45.3299425
Evol,-55.39291,270.2847,58.47939,181.7004,100.6586,241.3969,95.24847,130.1486,2.821338,9.726193,Static enemies,32.12438,76.59951,-253.4842,-44.87668,-147.0011,-86.96225,-224.6305,-71.7053,-133.6908,16.55171,103.5071681,-83.707523
Evol,343.5937,103.666,92.82841,186.0779,123.3557,-80.51862,5.904275,3.910284,175.6615,79.44504,Static enemies,-6.142414,-354.2709,-62.78976,-54.5821,-183.3233,-97.55811,96.90179,30.46002,23.86959,-168.4205,103.3924189,-77.5855684
Evol,325.2694,133.5793,48.45591,181.4006,220.3159,96.79572,186.1973,108.3882,64.21379,275.7749,Static enemies,-57.48516,-309.9994,-83.12052,-49.71244,-146.9934,-191.7938,-56.59785,-160.8172,-100.3511,-55.62364,164.039102,-121.249451
