,,,,,,,,,,,,,,,,,,,,,,e_avg,s_avg
Evol,-102.8153,-9.525081,39.21245,33.87239,143.9522,58.42835,8.261218,165.0146,100.1667,-59.22311,Static enemies,195.2507,39.06425,60.76664,1.691046,-3.654346,-81.90968,-23.19741,47.47434,-123.6381,-61.07069,37.7344417,5.077675
Evol,175.5971,173.9738,4.825786,-14.56004,120.7391,104.0193,143.9256,144.7725,128.1828,-33.59736,Static enemies,106.7585,-143.9912,-134.3465,61.97286,50.44265,-42.57165,-42.81412,-90.99899,-86.81295,-61.43657,94.7878586,-38.379797
Evol,67.5277,72.68003,82.96664,-40.92809,139.2245,79.40475,-48.05993,71.0468,94.03642,71.03583,Static enemies,80.82038,-1.963239,-36.91361,-49.88994,107.4301,-96.16903,-22.07254,107.9892,-32.08447,-46.0803,58.893465,1.1066551
Evol,-56.28764,-20.15487,87.2504,41.18099,-26.08299,36.55431,-17.38444,24.82735,5.057604,64.49167,Static enemies,-32.36264,101.2202,87.55981,-27.8433,35.26941,97.18213,20.0524,58.60163,25.18767,75.44502,13.9452384,44.031233
Evol,-20.76917,214.8117,79.2266,-19.78494,92.28683,73.86579,20.94753,-24.81416,157.2065,88.01494,Static enemies,-33.25314,73.62975,-179.2389,-15.22099,74.48048,-44.70872,-26.8915,11.24171,88.43579,-101.7437,66.099162,-15.326922
Evol,-40.56707,10.5854,0.8002752,-103.9312,91.92625,30.23081,27.08383,5.902267,130.3288,-79.05666,Static enemies,-23.13367,85.97392,16.17975,43.10117,159.3806,-45.92732,37.90737,45.0864,59.81431,-55.24394,7.33027022,32.313859
Evol,21.55131,40.35363,27.4833,19.38447,51.12761,-17.29524,121.3247,-103.8848,10.13794,123.3283,Static enemies,116.5623,49.75095,39.59932,39.38829,46.10313,4.684504,60.30008,-64.87997,114.4088,33.6113,29.351122,43.9528704
Evol,-96.78252,169.7323,-69.46489,82.49619,152.7007,-33.75312,32.45615,98.62263,76.02052,-63.10853,Static enemies,-53.25064,148.6784,-127.4195,117.452,-14.58749,-98.79906,67.81477,42.27253,-67.41559,-22.10141,34.891943,-0.735599
Evol,94.39691,95.30782,-53.76677,-57.79948,53.11426,77.48775,-26.42474,45.8989,196.9424,-1.394754,Static enemies,113.1364,-47.24908,-41.58495,98.64898,121.0248,-4.418782,-9.913822,65.64069,13.88275,-140.5008,42.3762296,16.8666186
Evol,-44.78329,61.32406,18.84345,-12.93934,1.337367,42.86299,138.3388,78.07936,-55.53697,56.31691,Static enemies,35.62339,70.79427,1.546531,31.62749,58.00064,41.993,46.17547,-108.1796,-3.41981,95.04928,28.3843337,26.9210661
Evol,63.341,-79.17482,107.7707,14.25859,-7.96032,80.60209,92.03565,23.46691,74.79168,34.30151,Static enemies,-24.35975,-18.07537,129.9771,-48.07095,46.65003,69.41854,-24.88,-40.06029,38.90432,-54.72664,40.343299,7.477699
Evol,124.564,103.6588,-5.163796,23.01295,103.6856,47.4396,16.75929,-64.3997,38.38399,-47.55647,Static enemies,9.685233,-64.88648,-51.54586,49.28541,14.77573,-97.13737,-0.3303153,16.08592,117.9041,35.66442,34.0384264,2.95007877
Evol,22.41533,85.45538,67.20639,66.76516,67.12408,54.98561,81.55627,-92.27251,6.430676,-4.008302,Static enemies,113.2285,52.12044,-27.64456,-9.629563,-17.83706,-24.98728,10.88599,-42.42305,119.9434,62.79691,35.5658084,23.6453727
Evol,58.34024,-32.65361,124.5045,35.64976,86.94807,211.4838,136.8863,78.39657,82.80007,113.7136,Static enemies,74.89152,-11.98697,66.81606,-109.105,35.53476,-65.10708,-159.8357,-91.90324,-28.55859,-27.56757,89.60693,-31.682181
Evol,20.62687,69.30805,15.56834,-25.34098,19.584,-27.94511,-113.5612,223.7661,-5.067087,82.8348,Static enemies,-94.35225,41.95523,-6.832479,19.09492,48.54303,13.95995,63.34121,172.859,-186.2969,82.24869,25.9773783,15.4520401
Evol,166.7834,-58.53281,-55.81271,7.783835,45.75999,145.4236,-41.63528,-157.1614,59.18898,83.64742,Static enemies,-18.67419,-122.0869,124.6674,132.3027,45.86662,-17.59906,-98.93233,71.47616,166.068,-14.29739,19.5445025,26.879101
